stop_id,stop_code,stop_name,stop_lat,stop_lon
1800LHBS0F1,MANTMDPA,Leigh Bus Station,53.49548000000,-2.51816000000
1800LHBS0G1,MANTMDPD,Leigh Bus Station,53.49553000000,-2.51842000000
1800LHBS0H1,MANTMDPG,Leigh Bus Station,53.49559000000,-2.51868000000
1800LHBS0J1,MANTMDPJ,Leigh Bus Station,53.49533000000,-2.51834000000
1800LHBS0K1,MANTMDPM,Leigh Bus Station,53.49538000000,-2.51860000000
1800LHBSAR2,,Leigh Bus Station,53.49510572895,-2.51809624439
1800LHBSRR1,MANTMDPW,Leigh Bus Station,53.49575000000,-2.51825500000
1800MABS001,MANTMPGT,Manchester Airport The Station,53.36560000000,-2.27242700000
1800MABS0D1,MANTMDTJ,Manchester Airport The Station,53.36566000000,-2.27268300000
1800MABS0E1,MANTMDTM,Manchester Airport The Station,53.36567000000,-2.27259300000
1800MABS0F1,MANTMDTP,Manchester Airport The Station,53.36568000000,-2.27250300000
1800MABS0G1,MANTMDTW,Manchester Airport The Station,53.36568000000,-2.27241300000
1800MABS0H1,MANTMDWA,Manchester Airport The Station,53.36568000000,-2.27235200000
1800MABS0J1,MANTMDWD,Manchester Airport The Station,53.36569000000,-2.27226200000
1800MABS0K1,MANTMDWG,Manchester Airport The Station,53.36570000000,-2.27215700000
1800MABS0L1,MANTMDWJ,Manchester Airport The Station,53.36572000000,-2.27205200000
1800MABSAR1,,Manchester Airport The Station,53.36603577495,-2.27157356643
1800MNBS0A1,MANTMDWM,Middleton Bus Station,53.54792000000,-2.19988800000
1800MNBS0B1,MANTMDWP,Middleton Bus Station,53.54783000000,-2.20012900000
1800MNBS0C1,MANTMDWT,Middleton Bus Station,53.54770000000,-2.20052000000
1800MNBS0D1,MANTMGAD,Middleton Bus Station,53.54762000000,-2.20076100000
1800MNBS0E1,MANTMGAG,Middleton Bus Station,53.54759000000,-2.20056500000
1800MNBS0F1,MANTMGAJ,Middleton Bus Station,53.54766000000,-2.20029400000
1800MNBS0G1,MANTMGAM,Middleton Bus Station,53.54765000000,-2.20021800000
1800MNBS0H1,MANTMGAP,Middleton Bus Station,53.54764000000,-2.20015800000
1800MNBS0J1,MANTMGAT,Middleton Bus Station,53.54764000000,-2.20008200000
1800MNBS0K1,MANTMGAW,Middleton Bus Station,53.54763000000,-2.20002200000
1800MNBS0L1,MANTMGDA,Middleton Bus Station,53.54762000000,-2.19994600000
1800MNBS0M1,MANTMGDG,Middleton Bus Station,53.54771000000,-2.19975100000
1800MNBS0N1,MANTMGDJ,Middleton Bus Station,53.54790000000,-2.19952500000
1800NB00021,MANDJGPJ,Ashenhurst Reservoir,53.52423000000,-2.23142100000
1800NB00031,MANDJGPM,Ashenhurst Reservoir,53.52396000000,-2.23083200000
1800NB00091,MANDJGPT,Sandyhill Road,53.52438000000,-2.23443900000
1800NB00101,MANDJGPW,Sandyhill Road,53.52423000000,-2.23360800000
1800NB00111,MANDJGTA,Fairy Lane,53.49654000000,-2.25267600000
1800NB00301,MANDJGTG,North Manchester General Hospital,53.51716000000,-2.22869800000
1800NB00761,MANDJGTJ,Trinity Way,53.48994000000,-2.24675800000
1800NB00771,MANDJGTM,Trinity Way,53.48895000000,-2.24636100000
1800NB00801,MANDJGTP,Elizabeth Street,53.49673000000,-2.23796400000
1800NB00871,MANDJGTW,Woodlands Road,53.50945000000,-2.24293600000
1800NB01201,MANDJGWD,Rochdale Road,53.53164000000,-2.20602600000
1800NB01861,MANDJGWG,Waterloo Street,53.51189000000,-2.22560900000
